[22:16:47] [main/WARN]: Failed to add PDH Counter: \Archivo de paginación(_Total)\% Usage, Error code: 0xC0000BB8
[22:16:47] [main/WARN]: Failed to add counter for PDH object: Archivo de paginación
[22:16:47] [main/WARN]: Disabling further attempts to query Paging File.
[22:17:32] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[22:17:36] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:17:36] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:17:36] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[22:17:36] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[22:17:36] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[22:17:36] [main/INFO]: Reloading ResourceManager: Default, CavesAndCliffsPreview.zip, CavesAndCliffsPreview
[22:17:41] [Worker-Main-12/INFO]: Loaded 7 recipes
[22:17:42] [Worker-Main-12/INFO]: Loaded 1138 advancements
[22:18:23] [Server thread/INFO]: Starting minecraft server version 1.17
[22:18:23] [Server thread/INFO]: Loading properties
[22:18:23] [Server thread/INFO]: Default game type: SURVIVAL
[22:18:23] [Server thread/INFO]: Generating keypair
[22:18:27] [Server thread/INFO]: Starting Minecraft server on *:25565
[22:18:27] [Server thread/INFO]: Using default channel type
[22:18:46] [Server thread/INFO]: Preparing level "world"
[22:18:48] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[22:18:50] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[22:18:50] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[22:18:51] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[22:18:53] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[22:18:53] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[22:18:53] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[22:18:53] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[22:18:53] [Worker-Main-17/INFO]: Preparing spawn area: 0%
[22:18:53] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[22:18:53] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[22:18:53] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[22:18:54] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:18:54] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[22:18:55] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[22:18:55] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[22:18:56] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[22:18:56] [Worker-Main-17/INFO]: Preparing spawn area: 0%
[22:18:57] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:18:57] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[22:18:58] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[22:18:58] [Worker-Main-17/INFO]: Preparing spawn area: 0%
[22:18:59] [Worker-Main-17/INFO]: Preparing spawn area: 0%
[22:18:59] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[22:19:00] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[22:19:01] [Worker-Main-17/INFO]: Preparing spawn area: 0%
[22:19:01] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:19:01] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:19:02] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[22:19:03] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[22:19:03] [Worker-Main-17/INFO]: Preparing spawn area: 0%
[22:19:03] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[22:19:04] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:19:04] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[22:19:05] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[22:19:06] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[22:19:06] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:19:06] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[22:19:07] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:19:07] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[22:19:08] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[22:19:08] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[22:19:09] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[22:19:09] [Worker-Main-17/INFO]: Preparing spawn area: 0%
[22:19:10] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[22:19:10] [Worker-Main-17/INFO]: Preparing spawn area: 0%
[22:19:11] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[22:19:12] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[22:19:12] [Worker-Main-17/INFO]: Preparing spawn area: 0%
[22:19:12] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[22:19:13] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[22:19:13] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[22:19:14] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[22:19:14] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[22:19:15] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:19:15] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[22:19:16] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[22:19:16] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[22:19:17] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:19:18] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[22:19:18] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[22:19:18] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[22:19:19] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[22:19:19] [Worker-Main-17/INFO]: Preparing spawn area: 0%
[22:19:20] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:19:20] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:19:21] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[22:19:21] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[22:19:22] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[22:19:22] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[22:19:23] [Worker-Main-17/INFO]: Preparing spawn area: 0%
[22:19:23] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:19:24] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[22:19:24] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[22:19:25] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:19:25] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[22:19:26] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:19:26] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[22:19:27] [Worker-Main-17/INFO]: Preparing spawn area: 0%
[22:19:27] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[22:19:28] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:19:28] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[22:19:29] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:19:29] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:19:30] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:19:31] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:19:31] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[22:19:31] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[22:19:32] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[22:19:32] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[22:19:33] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[22:19:33] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[22:19:34] [Worker-Main-13/INFO]: Preparing spawn area: 0%
[22:19:34] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:19:35] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[22:19:35] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[22:19:36] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:19:36] [Worker-Main-17/INFO]: Preparing spawn area: 0%
[22:19:37] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:19:37] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[22:19:38] [Worker-Main-17/INFO]: Preparing spawn area: 0%
[22:19:38] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[22:19:39] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[22:19:39] [Worker-Main-17/INFO]: Preparing spawn area: 0%
[22:19:40] [Worker-Main-17/INFO]: Preparing spawn area: 0%
[22:19:40] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[22:19:41] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[22:19:41] [Worker-Main-17/INFO]: Preparing spawn area: 0%
[22:19:42] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[22:19:42] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[22:19:43] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[22:19:44] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[22:19:44] [Worker-Main-8/INFO]: Preparing spawn area: 0%
[22:19:44] [Worker-Main-17/INFO]: Preparing spawn area: 0%
[22:19:45] [Worker-Main-10/INFO]: Preparing spawn area: 0%
[22:19:45] [Worker-Main-9/INFO]: Preparing spawn area: 0%
[22:19:46] [Worker-Main-14/INFO]: Preparing spawn area: 0%
[22:19:46] [Worker-Main-11/INFO]: Preparing spawn area: 0%
[22:19:47] [Worker-Main-10/INFO]: Preparing spawn area: 1%
[22:19:47] [Worker-Main-8/INFO]: Preparing spawn area: 1%
[22:19:48] [Worker-Main-10/INFO]: Preparing spawn area: 2%
[22:19:48] [Worker-Main-13/INFO]: Preparing spawn area: 3%
[22:19:49] [Worker-Main-13/INFO]: Preparing spawn area: 4%
[22:19:49] [Worker-Main-13/INFO]: Preparing spawn area: 4%
[22:19:50] [Worker-Main-8/INFO]: Preparing spawn area: 4%
[22:19:50] [Worker-Main-10/INFO]: Preparing spawn area: 4%
[22:19:51] [Worker-Main-9/INFO]: Preparing spawn area: 5%
[22:19:51] [Worker-Main-8/INFO]: Preparing spawn area: 6%
[22:19:52] [Worker-Main-17/INFO]: Preparing spawn area: 21%
[22:19:52] [Worker-Main-14/INFO]: Preparing spawn area: 26%
[22:19:53] [Worker-Main-10/INFO]: Preparing spawn area: 33%
[22:19:53] [Worker-Main-10/INFO]: Preparing spawn area: 36%
[22:19:54] [Worker-Main-9/INFO]: Preparing spawn area: 38%
[22:19:54] [Worker-Main-13/INFO]: Preparing spawn area: 40%
[22:19:55] [Worker-Main-10/INFO]: Preparing spawn area: 42%
[22:19:55] [Worker-Main-14/INFO]: Preparing spawn area: 48%
[22:19:56] [Worker-Main-8/INFO]: Preparing spawn area: 52%
[22:19:56] [Worker-Main-8/INFO]: Preparing spawn area: 58%
[22:19:57] [Worker-Main-17/INFO]: Preparing spawn area: 64%
[22:19:57] [Worker-Main-13/INFO]: Preparing spawn area: 65%
[22:19:58] [Worker-Main-11/INFO]: Preparing spawn area: 67%
[22:19:58] [Worker-Main-9/INFO]: Preparing spawn area: 67%
[22:19:59] [Worker-Main-17/INFO]: Preparing spawn area: 69%
[22:19:59] [Worker-Main-11/INFO]: Preparing spawn area: 78%
[22:20:00] [Worker-Main-8/INFO]: Preparing spawn area: 81%
[22:20:01] [Worker-Main-13/INFO]: Preparing spawn area: 99%
[22:20:01] [Worker-Main-13/INFO]: Preparing spawn area: 99%
[22:20:01] [Server thread/INFO]: Time elapsed: 72878 ms
[22:20:01] [Server thread/INFO]: Done (74.769s)! For help, type "help"
[22:51:56] [User Authenticator #1/INFO]: UUID of player Ivanchut is 363906b3-7720-4b09-a731-4b4bb4355a6f
[22:51:56] [Server thread/INFO]: Ivanchut[/25.51.185.131:57962] logged in with entity id 85 at (-3408.8299380797566, 70.9375, 2645.3110840429727)
[22:51:56] [Server thread/INFO]: Ivanchut joined the game
[22:51:58] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2235ms or 44 ticks behind
[22:52:25] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 11379ms or 227 ticks behind
[22:52:45] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 5979ms or 119 ticks behind
[23:43:10] [Server thread/INFO]: Ivanchut lost connection: Disconnected
[23:43:11] [Server thread/INFO]: Ivanchut left the game
[23:43:11] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2862ms or 57 ticks behind
[23:44:35] [Server thread/INFO]: Stopping the server
[23:44:35] [Server thread/INFO]: Stopping server
[23:44:35] [Server thread/INFO]: Saving players
[23:44:35] [Server thread/INFO]: Saving worlds
[23:44:35] [Server thread/INFO]: Saving chunks for level 'ServerLevel[Cuevas]'/minecraft:overworld
[23:44:37] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[23:44:38] [Server thread/INFO]: Saving chunks for level 'ServerLevel[Cuevas]'/minecraft:the_nether
[23:44:38] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[23:44:38] [Server thread/INFO]: Saving chunks for level 'ServerLevel[Cuevas]'/minecraft:the_end
[23:44:38] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
[23:44:38] [Server thread/INFO]: ThreadedAnvilChunkStorage (world): All chunks are saved
[23:44:41] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM-1): All chunks are saved
[23:44:41] [Server thread/INFO]: ThreadedAnvilChunkStorage (DIM1): All chunks are saved
